key,fr,status,notes
TOOLS_TOPPING,Zone de découpe,reviewed,Arbitrage utilisateur : zone de jeu et catégorie d'ingrédients.
TOOLS_SEASONING,Assaisonnement,reviewed,Nom de station couvrant sauces et condiments.
Dialogue/FOODREVIEW_NO_ICE,Vous n'avez pas mis de glaçons.,reviewed,Terme harmonisé avec l'ingrédient.
Dialogue/FOODREVIEW_WRONG_ICE,Je ne voulais pas de glaçons.,reviewed,Terme harmonisé avec l'ingrédient.
Shop/SHOP_INGREDIENT_PICKLEDBOKCHOY_NAME,Pak choï mariné,reviewed,Graphie harmonisée avec l'ingrédient.
Shop/SHOP_INGREDIENT_FISHCAKE_NAME,Surimi Narutomaki,reviewed,Arbitrage utilisateur : terme japonais conservé et explicité pour le public français.
Shop/SHOP_DRINK_ICE_NAME,Glaçons,reviewed,Évite l'ambiguïté avec une crème glacée.
Shop/SHOP_PREMIUM_INGREDIENT_VERMICELLI_NAME,Vermicelles de riz premium,reviewed,Terme harmonisé avec l'ingrédient standard.
Shop/SHOP_PREMIUM_INGREDIENT_VERMICELLI_DESC,"Vermicelles de riz premium pour la table de cuisson.<br>""Délicieux et nourrissants, ces vermicelles seraient filés à partir des nuages du paradis.""",reviewed,Terme harmonisé avec l'ingrédient standard.
Shop/SHOP_PREMIUM_INGREDIENT_PICKLEDBOKCHOY_NAME,Pak choï mariné premium,reviewed,Graphie harmonisée avec l'ingrédient standard.
Shop/SHOP_PREMIUM_INGREDIENT_PICKLEDBOKCHOY_DESC,"Pak choï mariné premium de la zone de découpe.<br>""Préparé avec une technique de marinade magistrale qui lui apporte une harmonie complexe de saveurs.""",reviewed,Graphie harmonisée avec l'ingrédient standard et la terminologie de la station.
Shop/SHOP_PREMIUM_INGREDIENT_FISHCAKE_NAME,Surimi Narutomaki premium,reviewed,Arbitrage utilisateur : terme japonais conservé et explicité pour le public français.
Shop/SHOP_PREMIUM_INGREDIENT_FISHCAKE_DESC,"Surimi Narutomaki premium de la zone de découpe.<br>""Une saveur étonnamment délicate et pure, mais indéniablement délicieuse.""",reviewed,Arbitrages utilisateur : terme japonais conservé et station nommée zone de découpe.
INGREDIENT_SKEWER_OCTOPUS,Poulpe,reviewed,Les six autres langues désignent le poulpe ; thaï et allemand divergent.
NOTIFICATION_UNLOCK_MESSAGE,"Débloqué : [X]",reviewed,Formulation neutre pour tout élément déverrouillé.
Dialogue/VNM20_PLAYERWIN_4,"Non ! Je ne dois pas penser comme ça ! Comme dans sa chanson « A fond les boulettes », je ne dois pas laisser les revers me définir !",reviewed,Arbitrage utilisateur du titre de chanson ; A majuscule sans accent pour compatibilité de police.
