key,source_hash,fr,status,notes
SKEWER_COOKED_LEVEL_COOKED,45dd205c91c3ec284bae0505260cf21fa7afc3778fb82cd08abb030991392a25,Cuit,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
SKEWER_COOKED_LEVEL_OVERCOOKED,a86b768ba8f298f7beb136469f4ee314f96b34dd3eae47a2da436aa3af7d35c7,Trop cuit,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
TOOLS_SKEWERING,ce7deff2e11c22afad7e45af08027b1d6d4b7cbbac40bca04fb045374ad7c455,Gril,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
ACTION_DROP,faa6eee87f057d1424dcde2674b5eef215adb735d4ac6f40b310e9209f1ba36e,Poser,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
GUIDE_CONTEST_INFO,15399f488c1ae259a48da27287ad1ad34906d70db82fd4f1e51e45829abd2d59,Infos,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
GUIDE_JUDGE_INFO,8d9ec0cefe22187825bda300118ddca2eddfafafda6510d743917a0ae1b784d0,Juge,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
BLOCKEDACTION_DECORATIONSKIN_LOCKED,fcc7728dbb169d2d3e303b49bce98c026b4bcabbfbb67f42b3e6cf20024eafcd,Nécessite [CHARACTER] niv. d'amitié [LEVEL],reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
TUTORIAL_DISCARD_ACTION,e6aa128b4eb75ba6587369adb70315eee2badd8ffbaadac7ae7083cb3b72e6e6,Maintiens le clic sur le bol pour jeter tous les ingrédients qu’il contient.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
TUTORIAL_REMAKE_OPENING,74f3287575afdfbdb72ade456ac58370e9c904fbd6e26b5a111a418e7d79992f,Oups ! On dirait que le client a renvoyé le plat.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
TUTORIAL_BASIC_SERVE_BOWL,699687b35be3ebb8f405672165af7b1f855d40086705604f1985012880ac6a96,"Le bol doit être dans la zone ASSAISONNEMENT avant le service. Enfin, [COLOR=ALERT]sonne la cloche[/COLOR] pour servir le plat !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
TUTORIAL_MANUALORDER_MESSAGE_1,85be15c5dac8c519bb5faa1c0d0d0ad25ed78a880a1e2ceec260b5ef22f8fe33,Il arrive que des clients passent une commande personnalisée absente du menu.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
BUTTON_CITY,8811eeaf2f01cda3708d7c6c9c9bd33cac03714423ffcbf906fdb5f69e6de1ad,Ville,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
BUTTON_TAPANYWHERETOCLOSE,6680f4139c5257c9ca876386b760015e3e0a9e0c9ddc1e6c6df838a9f93b65b0,Clique dans une zone vide pour fermer,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
BUTTON_TAPANYWHERETOCONTINUE,936d2031e67dcfec8c06930837a666af622cc3b424a4bd94b05d3a791cc64d8d,Continuer...,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
SETTINGS_MASTER_VOLUME,5fb4bd704706103ac6f3f9cdeb22889a59ab36d1d364efa02f68ffbadac950b7,Volume maître,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
SETTINGS_SFX_VOLUME,91fa1b1e7a2f756f915815767bf35b1af047f5a88fff5c759138a2ecbcc8aab7,Volume des SFX,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
SETTINGS_BGM_VOLUME,e8000a63430bd94dadb316ad064f2fdc5d7cbfc88e252e62d1006dbaa354524e,Musique,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
SETTINGS_VOICE_VOLUME,dd53fc3ccfde1fad7d04302567b3a33448b4b30ce17a6be9e02ca3f29b88c2d4,Volume voix,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
SETTINGS_MAINMENU_GO,1dc48b8735cd33209dc3a8f08f93eeb6ef651932ef681322dd4618d46e40e07b,Retour au menu principal,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
FEEDBACK_TITLE,4b1d76ed8548c6e65764b400097a3ea4c50cf73e899aa7b7ad7bcc7a82073eb2,Avis,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
FEEDBACK_DESC,5724f176fded08f09f61b43d044ae93c7bd6422781d2e2e0bd3afa0b92a503c0,Signaler un bug,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
NOTIFICATION_UNLOCK_MESSAGE,afe47bda9e287e4fcb2ff52e8ca8c013be85785e1b1f4335c446c3c6b597f6a8,Débloqué : [X],reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
